date,ws-2,ws-1,ws,ws+1,wd-2,wd-1,wd,wd+1,hour_from_06,week,month,production
2009-07-01 03:00:00,2.93,2.83,2.92,3.1,340.24,333.88,332.41,334.53,3,27,7,0.01
2009-07-01 04:00:00,2.83,2.92,3.1,3.32,333.88,332.41,334.53,338.51,2,27,7,0.01
2009-07-01 05:00:00,2.92,3.1,3.32,3.49,332.41,334.53,338.51,343.08,1,27,7,0.015
2009-07-01 06:00:00,3.1,3.32,3.49,3.57,334.53,338.51,343.08,347.56,0,27,7,0.015
2009-07-01 07:00:00,3.32,3.49,3.57,3.58,338.51,343.08,347.56,351.12,1,27,7,0.025
2009-07-01 08:00:00,3.49,3.57,3.58,3.59,343.08,347.56,351.12,352.58,2,27,7,0.046
2009-07-01 09:00:00,3.57,3.58,3.59,3.62,347.56,351.12,352.58,351.58,3,27,7,0.081
2009-07-01 10:00:00,3.58,3.59,3.62,3.7,351.12,352.58,351.58,351.75,4,27,7,0.10099999999999999
2009-07-01 11:00:00,3.59,3.62,3.7,3.83,352.58,351.58,351.75,357.34,5,27,7,0.111
2009-07-01 12:00:00,3.62,3.7,3.83,4.09,351.58,351.75,357.34,352.59,6,27,7,0.121
2009-07-01 13:00:00,3.7,3.83,4.09,4.39,351.75,357.34,352.59,1.31,7,27,7,0.111
2009-07-01 14:00:00,3.83,4.09,4.39,4.57,357.34,352.59,1.31,6.14,8,27,7,0.13699999999999998
2009-07-01 15:00:00,4.09,4.39,4.57,4.6,352.59,1.31,6.14,8.7,9,27,7,0.106
2009-07-01 16:00:00,4.39,4.57,4.6,4.5,1.31,6.14,8.7,10.35,10,27,7,0.086
2009-07-01 17:00:00,4.57,4.6,4.5,4.34,6.14,8.7,10.35,12.34,11,27,7,0.055999999999999994
2009-07-01 18:00:00,4.6,4.5,4.34,4.15,8.7,10.35,12.34,15.47,12,27,7,0.03
2009-07-01 19:00:00,4.5,4.34,4.15,3.92,10.35,12.34,15.47,18.52,11,27,7,0.02
2009-07-01 20:00:00,4.34,4.15,3.92,3.57,12.34,15.47,18.52,19.56,10,27,7,0.0
2009-07-01 21:00:00,4.15,3.92,3.57,3.09,15.47,18.52,19.56,16.59,9,27,7,0.005
2009-07-01 22:00:00,3.92,3.57,3.09,2.61,18.52,19.56,16.59,10.53,8,27,7,0.005
2009-07-01 23:00:00,3.57,3.09,2.61,2.26,19.56,16.59,10.53,5.53,7,27,7,0.01
2009-07-02 00:00:00,3.09,2.61,2.26,2.31,16.59,10.53,5.53,355.84,6,27,7,0.0
2009-07-02 01:00:00,2.61,2.26,2.31,2.12,10.53,5.53,355.84,345.42,5,27,7,0.0
2009-07-02 02:00:00,2.26,2.31,2.12,1.65,5.53,355.84,345.42,338.96,4,27,7,0.0
2009-07-02 03:00:00,2.31,2.12,1.65,0.98,355.84,345.42,338.96,331.16,3,27,7,0.0
2009-07-02 04:00:00,2.12,1.65,0.98,0.43,345.42,338.96,331.16,290.72,2,27,7,0.0
2009-07-02 05:00:00,1.65,0.98,0.43,0.78,338.96,331.16,290.72,233.16,1,27,7,0.02
2009-07-02 06:00:00,0.98,0.43,0.78,1.55,331.16,290.72,233.16,235.08,0,27,7,0.015
2009-07-02 07:00:00,0.43,0.78,1.55,2.3,290.72,233.16,235.08,243.73,1,27,7,0.005
2009-07-02 08:00:00,0.78,1.55,2.3,2.76,233.16,235.08,243.73,253.15,2,27,7,0.0
2009-07-02 09:00:00,1.55,2.3,2.76,2.73,235.08,243.73,253.15,265.49,3,27,7,0.0
2009-07-02 10:00:00,2.3,2.76,2.73,2.39,243.73,253.15,265.49,283.06,4,27,7,0.0
2009-07-02 11:00:00,2.76,2.73,2.39,2.0,253.15,265.49,283.06,307.07,5,27,7,0.0
2009-07-02 12:00:00,2.73,2.39,2.0,1.14,265.49,283.06,307.07,13.62,6,27,7,0.0
2009-07-02 13:00:00,2.39,2.0,1.14,0.9,283.06,307.07,13.62,35.79,7,27,7,0.0
2009-07-02 14:00:00,2.0,1.14,0.9,0.42,307.07,13.62,35.79,43.0,8,27,7,0.0
2009-07-02 15:00:00,1.14,0.9,0.42,0.23,13.62,35.79,43.0,244.82,9,27,7,0.0
2009-07-02 16:00:00,0.9,0.42,0.23,0.76,35.79,43.0,244.82,236.06,10,27,7,0.0
2009-07-02 17:00:00,0.42,0.23,0.76,0.83,43.0,244.82,236.06,225.32,11,27,7,0.0
2009-07-02 18:00:00,0.23,0.76,0.83,0.55,244.82,236.06,225.32,165.69,12,27,7,0.005
2009-07-02 19:00:00,0.76,0.83,0.55,1.25,236.06,225.32,165.69,105.37,11,27,7,0.0
2009-07-02 20:00:00,0.83,0.55,1.25,2.13,225.32,165.69,105.37,92.19,10,27,7,0.0
2009-07-02 21:00:00,0.55,1.25,2.13,2.53,165.69,105.37,92.19,86.88,9,27,7,0.0
2009-07-02 22:00:00,1.25,2.13,2.53,2.57,105.37,92.19,86.88,83.04,8,27,7,0.0
2009-07-02 23:00:00,2.13,2.53,2.57,2.5,92.19,86.88,83.04,79.8,7,27,7,0.005
2009-07-03 00:00:00,2.53,2.57,2.5,2.39,86.88,83.04,79.8,67.34,6,27,7,0.0
2009-07-03 01:00:00,2.57,2.5,2.39,2.69,83.04,79.8,67.34,69.98,5,27,7,0.005
2009-07-03 02:00:00,2.5,2.39,2.69,3.0,79.8,67.34,69.98,71.33,4,27,7,0.005
2009-07-03 03:00:00,2.39,2.69,3.0,3.28,67.34,69.98,71.33,72.35,3,27,7,0.02
2009-07-03 04:00:00,2.69,3.0,3.28,3.46,69.98,71.33,72.35,74.23,2,27,7,0.015
2009-07-03 05:00:00,3.0,3.28,3.46,3.47,71.33,72.35,74.23,78.34,1,27,7,0.035
2009-07-03 06:00:00,3.28,3.46,3.47,3.31,72.35,74.23,78.34,85.98,0,27,7,0.046
2009-07-03 07:00:00,3.46,3.47,3.31,3.21,74.23,78.34,85.98,95.18,1,27,7,0.03
2009-07-03 08:00:00,3.47,3.31,3.21,3.37,78.34,85.98,95.18,100.86,2,27,7,0.03
2009-07-03 09:00:00,3.31,3.21,3.37,3.8,85.98,95.18,100.86,99.61,3,27,7,0.046
2009-07-03 10:00:00,3.21,3.37,3.8,4.33,95.18,100.86,99.61,94.96,4,27,7,0.071
2009-07-03 11:00:00,3.37,3.8,4.33,4.72,100.86,99.61,94.96,90.0,5,27,7,0.071
2009-07-03 12:00:00,3.8,4.33,4.72,5.78,99.61,94.96,90.0,84.16,6,27,7,0.091
2009-07-03 13:00:00,4.33,4.72,5.78,5.89,94.96,90.0,84.16,83.63,7,27,7,0.121
2009-07-03 14:00:00,4.72,5.78,5.89,5.7,90.0,84.16,83.63,81.11,8,27,7,0.126
2009-07-03 15:00:00,5.78,5.89,5.7,5.32,84.16,83.63,81.11,77.15,9,27,7,0.066
2009-07-03 16:00:00,5.89,5.7,5.32,4.9,83.63,81.11,77.15,73.05,10,27,7,0.106
2009-07-03 17:00:00,5.7,5.32,4.9,4.55,81.11,77.15,73.05,71.06,11,27,7,0.157
2009-07-03 18:00:00,5.32,4.9,4.55,4.33,77.15,73.05,71.06,73.39,12,27,7,0.23800000000000002
2009-07-03 19:00:00,4.9,4.55,4.33,4.24,73.05,71.06,73.39,78.55,11,27,7,0.33399999999999996
2009-07-03 20:00:00,4.55,4.33,4.24,4.22,71.06,73.39,78.55,83.6,10,27,7,0.258
2009-07-03 21:00:00,4.33,4.24,4.22,4.18,73.39,78.55,83.6,86.52,9,27,7,0.33399999999999996
2009-07-03 22:00:00,4.24,4.22,4.18,4.15,78.55,83.6,86.52,88.27,8,27,7,0.39899999999999997
2009-07-03 23:00:00,4.22,4.18,4.15,4.25,83.6,86.52,88.27,90.39,7,27,7,0.055999999999999994
2009-07-04 00:00:00,4.18,4.15,4.25,5.83,86.52,88.27,90.39,91.11,6,27,7,0.081
2009-07-04 01:00:00,4.15,4.25,5.83,6.13,88.27,90.39,91.11,96.39,5,27,7,0.091
2009-07-04 02:00:00,4.25,5.83,6.13,6.18,90.39,91.11,96.39,98.62,4,27,7,0.28300000000000003
2009-07-04 03:00:00,5.83,6.13,6.18,6.02,91.11,96.39,98.62,98.95,3,27,7,0.253
2009-07-04 04:00:00,6.13,6.18,6.02,5.77,96.39,98.62,98.95,97.95,2,27,7,0.278
2009-07-04 05:00:00,6.18,6.02,5.77,5.54,98.62,98.95,97.95,96.07,1,27,7,0.349
2009-07-04 06:00:00,6.02,5.77,5.54,5.43,98.95,97.95,96.07,94.19,0,27,7,0.278
2009-07-04 07:00:00,5.77,5.54,5.43,5.4,97.95,96.07,94.19,94.31,1,27,7,0.28300000000000003
2009-07-04 08:00:00,5.54,5.43,5.4,5.42,96.07,94.19,94.31,98.55,2,27,7,0.298
2009-07-04 09:00:00,5.43,5.4,5.42,5.54,94.19,94.31,98.55,107.73,3,27,7,0.222
2009-07-04 10:00:00,5.4,5.42,5.54,5.86,94.31,98.55,107.73,117.67,4,27,7,0.228
2009-07-04 11:00:00,5.42,5.54,5.86,6.24,98.55,107.73,117.67,123.95,5,27,7,0.248
2009-07-04 12:00:00,5.54,5.86,6.24,6.42,107.73,117.67,123.95,128.07,6,27,7,0.359
2009-07-04 13:00:00,5.86,6.24,6.42,6.64,117.67,123.95,128.07,129.42,7,27,7,0.45
2009-07-04 14:00:00,6.24,6.42,6.64,6.45,123.95,128.07,129.42,124.43,8,27,7,0.344
2009-07-04 15:00:00,6.42,6.64,6.45,6.13,128.07,129.42,124.43,115.2,9,27,7,0.33899999999999997
2009-07-04 16:00:00,6.64,6.45,6.13,5.98,129.42,124.43,115.2,106.59,10,27,7,0.177
2009-07-04 17:00:00,6.45,6.13,5.98,6.01,124.43,115.2,106.59,105.45,11,27,7,0.177
2009-07-04 18:00:00,6.13,5.98,6.01,6.25,115.2,106.59,105.45,115.11,12,27,7,0.217
2009-07-04 19:00:00,5.98,6.01,6.25,6.54,106.59,105.45,115.11,127.59,11,27,7,0.207
2009-07-04 20:00:00,6.01,6.25,6.54,6.11,105.45,115.11,127.59,136.5,10,27,7,0.349
2009-07-04 21:00:00,6.25,6.54,6.11,4.2,115.11,127.59,136.5,139.42,9,27,7,0.23800000000000002
2009-07-04 22:00:00,6.54,6.11,4.2,1.75,127.59,136.5,139.42,126.5,8,27,7,0.131
2009-07-04 23:00:00,6.11,4.2,1.75,1.34,136.5,139.42,126.5,50.56,7,27,7,0.066
2009-07-05 00:00:00,4.2,1.75,1.34,4.45,139.42,126.5,50.56,83.35,6,27,7,0.015
2009-07-05 01:00:00,1.75,1.34,4.45,5.39,126.5,50.56,83.35,84.58,5,27,7,0.015
2009-07-05 02:00:00,1.34,4.45,5.39,5.56,50.56,83.35,84.58,89.28,4,27,7,0.025
2009-07-05 03:00:00,4.45,5.39,5.56,5.25,83.35,84.58,89.28,96.75,3,27,7,0.091
2009-07-05 04:00:00,5.39,5.56,5.25,4.83,84.58,89.28,96.75,105.56,2,27,7,0.23800000000000002
2009-07-05 05:00:00,5.56,5.25,4.83,4.5,89.28,96.75,105.56,111.98,1,27,7,0.258
